Team,Year,Wins,Losses,win%,Arena,Location,Capacity
St. Louis Blues,1999,51,19,0.7285714285714285,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,1999,19,47,0.2878787878787879,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,1999,45,27,0.625,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1999,30,29,0.5084745762711864,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1999,44,24,0.6470588235294118,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2000,25,41,0.3787878787878788,Honda Center,"Anaheim, California",17174
Boston Bruins,2000,36,30,0.5454545454545454,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2000,46,30,0.6052631578947368,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2000,27,36,0.42857142857142855,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2000,38,32,0.5428571428571428,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2000,28,39,0.417910447761194,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2000,29,40,0.42028985507246375,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2000,52,16,0.7647058823529411,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2000,48,24,0.6666666666666666,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2000,49,20,0.7101449275362319,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2000,39,28,0.582089552238806,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2000,22,38,0.36666666666666664,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2000,38,28,0.5757575757575758,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2000,25,39,0.390625,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2000,28,40,0.4117647058823529,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2000,34,36,0.4857142857142857,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2000,48,19,0.7164179104477612,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2000,21,51,0.2916666666666667,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2000,21,51,0.2916666666666667,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2000,33,43,0.4342105263157895,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2000,48,21,0.6956521739130435,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2000,43,25,0.6323529411764706,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2000,42,28,0.6,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2000,40,27,0.5970149253731343,SAP Center,"San Jose, California",17562
St. Louis Blues,2000,43,22,0.6615384615384615,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2000,24,47,0.3380281690140845,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2000,37,29,0.5606060606060606,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2000,36,28,0.5625,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2000,41,27,0.6029411764705882,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2001,29,42,0.4084507042253521,Honda Center,"Anaheim, California",17174
Boston Bruins,2001,43,24,0.6417910447761194,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2001,35,35,0.5,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2001,32,35,0.47761194029850745,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2001,35,26,0.5737704918032787,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2001,22,47,0.3188405797101449,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2001,41,27,0.6029411764705882,United Center,"Chicago, Illinois",19717
